Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10TACLE Studios,0.07,0.04,0.0,0.0,0.11
1C Company,0.01,0.07,0.0,0.02,0.1
20th Century Fox Video Games,1.82,0.1,0.0,0.01,1.94
2D Boy,0.0,0.03,0.0,0.01,0.04
3DO,6.48,3.04,0.0,0.63,10.12
49Games,0.0,0.04,0.0,0.0,0.04
505 Games,31.83,16.43,2.05,5.44,55.91
5pb,0.02,0.0,1.61,0.0,1.63
7G//AMES,0.0,0.06,0.0,0.0,0.08
989 Sports,0.21,0.14,0.0,0.02,0.38
989 Studios,9.23,3.3,0.1,0.67,13.32
AQ Interactive,0.34,0.06,0.11,0.05,0.53
ASC Games,1.12,0.77,0.0,0.13,2.02
ASCII Entertainment,0.7,0.44,9.4,0.36,10.89
ASCII Media Works,0.0,0.0,0.27,0.0,0.27
ASK,0.0,0.0,0.03,0.0,0.03
Abylight,0.07,0.0,0.0,0.01,0.08
Acclaim Entertainment,42.75,16.75,1.14,3.37,64.14
Accolade,1.25,0.34,0.0,0.07,1.68
Ackkstudios,0.13,0.04,0.66,0.01,0.84
Acquire,0.14,0.0,0.91,0.03,1.07
Activision,429.7,215.53,6.54,75.34,727.46
Activision Blizzard,0.08,0.36,0.0,0.04,0.48
Activision Value,5.53,0.88,0.0,0.57,6.96
Adeline Software,0.1,0.07,0.0,0.01,0.17
Aerosoft,0.01,0.02,0.0,0.0,0.03
Agatsuma Entertainment,0.22,0.02,0.06,0.01,0.31
Agetec,0.78,0.58,0.38,0.19,1.94
Aksys Games,0.19,0.01,0.18,0.05,0.44
Alawar Entertainment,0.0,0.04,0.0,0.01,0.05
Alchemist,0.59,0.46,1.42,0.15,2.63
Alternative Software,0.0,0.18,0.0,0.03,0.2
Altron,0.05,0.02,0.0,0.0,0.07
Alvion,0.0,0.0,0.04,0.0,0.04
American Softworks,0.13,0.09,0.0,0.02,0.23
Angel Studios,0.0,0.0,0.44,0.0,0.44
Answer Software,0.46,0.03,0.0,0.01,0.5
Aqua Plus,0.05,0.0,1.19,0.02,1.25
Aques,0.0,0.0,0.15,0.01,0.16
Arc System Works,0.78,0.0,0.57,0.12,1.48
Arena Entertainment,3.7,0.88,0.0,0.14,4.72
Aria,0.0,0.0,0.07,0.0,0.07
Arika,0.04,0.03,0.02,0.01,0.09
ArtDink,0.07,0.05,0.59,0.04,0.73
Aruze Corp,0.0,0.0,1.09,0.08,1.18
Ascaron Entertainment,0.0,0.01,0.0,0.0,0.01
Ascaron Entertainment GmbH,0.0,0.09,0.0,0.02,0.11
Asgard,0.0,0.0,0.25,0.0,0.25
Asmik Ace Entertainment,0.0,0.0,0.22,0.01,0.23
Asmik Corp,0.0,0.0,0.17,0.0,0.17
Aspyr,0.55,0.04,0.0,0.05,0.62
Astragon,0.24,0.32,0.0,0.06,0.64
Asylum Entertainment,0.09,0.43,0.0,0.06,0.59
Atari,110.04,27.12,10.71,9.01,157.22
Athena,0.02,0.0,0.07,0.0,0.09
Atlus,4.2,1.1,6.73,0.77,12.74
Avalon Interactive,0.34,0.12,0.0,0.03,0.48
Avanquest,1.12,1.62,0.0,0.25,3.0
Avanquest Software,0.95,0.53,0.03,0.17,1.69
Axela,0.0,0.0,0.24,0.02,0.25
BAM! Entertainment,3.16,1.45,0.03,0.24,4.95
BMG Interactive Entertainment,0.67,0.44,0.0,0.07,1.18
BPS,0.0,0.0,0.52,0.0,0.52
Banpresto,0.41,0.2,16.44,0.36,17.4
Benesse,0.01,0.0,0.32,0.0,0.33
Berkeley,0.02,0.01,0.0,0.0,0.03
Bethesda Softworks,39.72,30.73,1.45,10.16,82.14
Big Ben Interactive,0.78,0.13,0.0,0.07,1.0
Big Fish Games,0.0,0.04,0.0,0.0,0.05
Bigben Interactive,0.1,0.62,0.0,0.13,0.84
Black Bean Games,1.28,1.56,0.01,0.41,3.29
Black Label Games,0.59,0.46,0.0,0.15,1.2
Blast! Entertainment Ltd,0.23,0.11,0.0,0.03,0.38
Blue Byte,0.0,0.03,0.0,0.0,0.03
Bohemia Interactive,0.0,0.1,0.0,0.02,0.12
Bomb,0.21,0.01,0.0,0.0,0.22
Boost On,0.0,0.0,0.01,0.0,0.01
Brash Entertainment,0.89,0.21,0.0,0.11,1.23
Broccoli,0.0,0.0,0.96,0.0,0.96
BushiRoad,0.0,0.0,0.03,0.0,0.03
CBS Electronics,0.29,0.02,0.0,0.0,0.31
CCP,0.0,0.19,0.0,0.02,0.22
CDV Software Entertainment,0.11,0.06,0.0,0.01,0.2
CPG Products,0.5,0.03,0.0,0.01,0.54
CTO SpA,0.5,0.34,0.0,0.06,0.9
Capcom,78.59,39.22,68.08,14.84,200.89
Cave,0.14,0.0,0.18,0.01,0.33
ChunSoft,0.37,0.0,3.61,0.09,4.07
City Interactive,1.7,2.27,0.07,0.53,4.61
Cloud Imperium Games Corporation,0.08,0.0,0.0,0.0,0.08
Coconuts Japan,0.01,0.01,0.05,0.0,0.07
Codemasters,11.92,28.69,0.83,6.3,47.87
Codemasters Online,0.0,0.02,0.0,0.0,0.02
CokeM Interactive,0.29,0.0,0.0,0.02,0.31
Coleco,2.87,0.17,0.0,0.03,3.06
Comfort,0.0,0.0,0.15,0.0,0.15
Commseed,0.0,0.0,0.01,0.0,0.01
Compile,0.0,0.0,2.35,0.1,2.46
Compile Heart,0.5,0.03,0.77,0.07,1.37
Conspiracy Entertainment,0.63,0.14,0.0,0.04,0.84
Core Design Ltd.,0.16,0.11,0.0,0.02,0.29
Crave Entertainment,6.91,1.87,0.45,0.67,9.93
Creative Core,0.0,0.0,0.1,0.0,0.1
Crimson Cow,0.0,0.06,0.0,0.01,0.08
Crystal Dynamics,0.95,0.65,0.0,0.12,1.71
Culture Brain,0.0,0.0,0.27,0.0,0.27
Culture Publishers,0.05,0.03,0.0,0.01,0.09
CyberFront,0.01,0.0,0.26,0.0,0.27
Cygames,0.0,0.0,0.03,0.0,0.03
D3Publisher,11.52,5.01,4.65,2.88,24.13
DHM Interactive,0.16,0.0,0.0,0.01,0.18
DSI Games,0.29,0.04,0.0,0.01,0.35
DTP Entertainment,1.62,1.43,0.02,0.49,3.59
Daedalic,0.0,0.24,0.0,0.06,0.28
Daedalic Entertainment,0.0,0.11,0.0,0.01,0.14
Daito,0.0,0.0,0.23,0.0,0.23
Data Age,0.66,0.04,0.0,0.0,0.71
Data Design Interactive,0.25,0.01,0.0,0.02,0.29
Data East,0.0,0.0,0.15,0.0,0.15
Datam Polystar,0.0,0.0,0.03,0.0,0.03
Deep Silver,12.73,8.96,1.09,2.88,25.67
"Destination Software, Inc",0.75,0.08,0.0,0.03,0.88
Destineer,4.06,0.05,0.0,0.26,4.36
Detn8 Games,0.21,0.0,0.0,0.02,0.23
Devolver Digital,0.0,0.04,0.0,0.0,0.04
DigiCube,0.0,0.0,0.06,0.0,0.06
Disney Interactive Studios,71.34,34.64,0.56,13.18,119.96
Dorart,0.0,0.0,0.03,0.0,0.03
DreamCatcher Interactive,0.75,0.14,0.0,0.07,0.95
DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13
Dusenberry Martin Racing,0.05,0.0,0.0,0.01,0.05
EA Games,0.07,0.06,0.0,0.02,0.15
EON Digital Entertainment,0.01,0.0,0.0,0.0,0.01
ESP,0.03,0.02,0.54,0.0,0.59
Easy Interactive,0.0,0.03,0.0,0.0,0.05
Ecole,0.0,0.0,0.06,0.0,0.06
Edia,0.0,0.0,0.09,0.0,0.09
Eidos Interactive,49.19,35.63,6.11,8.02,98.98
Electronic Arts,595.07,371.27,14.04,129.77,1110.32
Electronic Arts Victor,0.23,0.17,0.0,0.03,0.42
Elf,0.0,0.0,0.64,0.0,0.64
Elite,0.04,0.03,0.0,0.0,0.07
Empire Interactive,6.03,3.77,0.42,1.12,11.29
Encore,0.04,0.03,0.0,0.0,0.07
Enix Corporation,0.76,0.31,32.4,0.27,33.74
Enjoy Gaming ltd.,0.09,0.0,0.0,0.01,0.1
Enterbrain,0.12,0.1,1.94,0.07,2.23
Epic Games,0.01,0.0,0.0,0.0,0.01
Epoch,0.0,0.0,0.99,0.06,1.05
Ertain,0.05,0.0,0.0,0.0,0.05
Essential Games,0.01,0.0,0.22,0.0,0.23
Evolution Games,0.0,0.0,0.06,0.0,0.07
Evolved Games,0.26,0.04,0.0,0.03,0.32
Excalibur Publishing,0.0,0.24,0.0,0.04,0.28
Experience Inc.,0.0,0.0,0.06,0.0,0.06
Extreme Entertainment Group,0.02,0.0,0.01,0.0,0.03
Falcom Corporation,0.28,0.0,0.91,0.03,1.21
Fields,0.0,0.0,0.03,0.0,0.03
Flashpoint Games,0.07,0.01,0.0,0.0,0.08
Flight-Plan,0.0,0.0,0.12,0.0,0.12
Focus Home Interactive,1.72,4.69,0.04,1.04,7.51
Focus Multimedia,0.0,0.05,0.0,0.0,0.05
Foreign Media Games,0.27,0.3,0.0,0.05,0.63
Fortyfive,0.0,0.0,0.06,0.0,0.06
Fox Interactive,3.76,3.19,0.0,0.43,7.39
From Software,0.35,0.21,0.99,0.1,1.63
FuRyu,0.11,0.02,1.17,0.01,1.32
FuRyu Corporation,0.02,0.0,0.0,0.01,0.03
Fuji,0.0,0.0,0.03,0.0,0.03
FunSoft,0.07,0.05,0.0,0.01,0.12
Funbox Media,0.71,0.13,0.0,0.06,0.91
Funcom,0.07,0.1,0.0,0.02,0.2
Funsta,0.13,0.05,0.0,0.01,0.2
G.Rev,0.0,0.0,0.04,0.0,0.04
GN Software,0.0,0.0,0.05,0.0,0.05
GOA,0.0,0.02,0.0,0.0,0.02
GSP,1.16,2.16,0.0,0.37,3.69
GT Interactive,15.57,8.49,0.02,1.14,25.23
Gaga,0.0,0.0,0.02,0.0,0.02
Gainax Network Systems,0.0,0.0,0.16,0.01,0.16
Gakken,0.0,0.0,0.04,0.0,0.04
Game Arts,0.0,0.0,0.14,0.0,0.14
Game Factory,3.31,0.2,0.0,0.23,3.79
Game Life,0.13,0.13,0.0,0.03,0.3
GameMill Entertainment,1.28,0.04,0.0,0.09,1.38
GameTek,0.08,0.02,0.0,0.0,0.1
Gamebridge,0.3,0.13,0.24,0.06,0.73
Gamecock,0.16,0.02,0.0,0.0,0.2
Gameloft,0.1,0.0,0.0,0.01,0.11
Gathering of Developers,0.61,0.47,0.0,0.12,1.19
General Entertainment,0.0,0.0,0.13,0.01,0.14
Genki,0.49,0.35,0.52,0.11,1.46
Genterprise,0.0,0.0,0.01,0.0,0.01
Ghostlight,1.22,0.46,0.89,0.22,2.79
Giga,0.0,0.0,0.02,0.0,0.02
Giza10,0.0,0.0,0.02,0.0,0.02
Glams,0.0,0.0,0.08,0.0,0.08
Global A Entertainment,0.13,0.0,0.01,0.01,0.15
Global Star,5.25,1.71,0.0,0.63,7.65
Gotham Games,2.27,1.24,0.0,0.22,3.72
Graffiti,0.36,0.0,0.0,0.01,0.38
